# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
0.5,0.55,Proposal Pass Rate,0.322054,195.393883,0.949462,false,0.045545,negligible
0.5,0.55,Proposal Rejection Rate,-0.322054,195.393883,0.949462,false,-0.045545,negligible
0.5,0.55,Governance Capture Risk,1.963127,197.365226,0.145594,false,0.277628,small
0.5,0.55,Single Entity Control,2.705446,173.471959,0.025740,true,0.382608,small
0.5,0.55,Avg Time to Decision,0.562414,197.871527,0.853718,false,0.079537,negligible
0.5,0.55,Proposal Abandonment Rate,-0.227456,196.429287,0.974464,false,-0.032167,negligible
0.5,0.55,Whale Influence,-0.695217,195.571438,0.785321,false,-0.098318,negligible
0.5,0.55,Delegate Concentration,1.336096,197.821071,0.409599,false,0.188952,negligible
0.5,0.55,Collusion Threshold,-2.528903,188.195262,0.040857,true,-0.357641,small
0.5,0.55,Avg Margin of Victory,0.763607,192.022893,0.747106,false,0.107990,negligible
0.5,0.55,Voter Participation Rate,1.109464,197.722081,0.540395,false,0.156902,negligible
0.5,0.55,Average Turnout,-0.103375,197.463724,0.994671,false,-0.014619,negligible
0.5,0.55,Quorum Reach Rate,1.721998,170.491378,0.227038,false,0.243527,small
0.5,0.55,Total Proposals,-1.507843,191.213241,0.320846,false,-0.213241,small
0.5,0.55,Governance Overhead,0.671385,194.474502,0.798214,false,0.094948,negligible
0.5,0.55,Final Treasury,-3.427607,157.071962,0.002811,true,-0.484737,small
0.55,0.6,Proposal Pass Rate,0.016223,196.177089,0.999868,false,0.002294,negligible
0.55,0.6,Proposal Rejection Rate,-0.016223,196.177089,0.999868,false,-0.002294,negligible
0.55,0.6,Governance Capture Risk,-0.431482,195.815171,0.911113,false,-0.061021,negligible
0.55,0.6,Single Entity Control,-1.701806,192.131912,0.235023,false,-0.240672,small
0.55,0.6,Avg Time to Decision,-0.909810,197.318860,0.661082,false,-0.128667,negligible
0.55,0.6,Proposal Abandonment Rate,-0.093892,194.934250,0.995602,false,-0.013278,negligible
0.55,0.6,Whale Influence,-0.150631,195.836999,0.988719,false,-0.021302,negligible
0.55,0.6,Delegate Concentration,-0.803441,197.992764,0.724149,false,-0.113624,negligible
0.55,0.6,Collusion Threshold,1.740510,191.953718,0.219877,false,0.246145,small
0.55,0.6,Avg Margin of Victory,-0.770943,189.565011,0.742913,false,-0.109028,negligible
0.55,0.6,Voter Participation Rate,-0.100757,196.776231,0.994937,false,-0.014249,negligible
0.55,0.6,Average Turnout,0.369815,197.692616,0.933904,false,0.052300,negligible
0.55,0.6,Quorum Reach Rate,-1.312841,191.151682,0.422411,false,-0.185664,negligible
0.55,0.6,Total Proposals,1.795705,196.211612,0.199433,false,0.253951,small
0.55,0.6,Governance Overhead,-0.220144,191.487508,0.976059,false,-0.031133,negligible
0.55,0.6,Final Treasury,0.784935,197.774600,0.734870,false,0.111007,negligible
0.6,0.67,Proposal Pass Rate,-0.379703,188.749074,0.930450,false,-0.053698,negligible
0.6,0.67,Proposal Rejection Rate,0.379703,188.749074,0.930450,false,0.053698,negligible
0.6,0.67,Governance Capture Risk,-0.446938,197.987639,0.904949,false,-0.063207,negligible
0.6,0.67,Single Entity Control,0.024260,197.918069,0.999706,false,0.003431,negligible
0.6,0.67,Avg Time to Decision,1.309543,197.934332,0.424242,false,0.185197,negligible
0.6,0.67,Proposal Abandonment Rate,-0.492855,195.925964,0.885633,false,-0.069700,negligible
0.6,0.67,Whale Influence,1.166325,197.876966,0.506538,false,0.164943,negligible
0.6,0.67,Delegate Concentration,0.711148,195.796611,0.776572,false,0.100572,negligible
0.6,0.67,Collusion Threshold,-0.161430,197.967066,0.987055,false,-0.022830,negligible
0.6,0.67,Avg Margin of Victory,1.584511,196.198036,0.284980,false,0.224084,small
0.6,0.67,Voter Participation Rate,-1.303694,197.652585,0.427497,false,-0.184370,negligible
0.6,0.67,Average Turnout,0.206223,197.323975,0.978961,false,0.029164,negligible
0.6,0.67,Quorum Reach Rate,0.927022,185.223859,0.650714,false,0.131101,negligible
0.6,0.67,Total Proposals,0.221061,193.654990,0.975862,false,0.031263,negligible
0.6,0.67,Governance Overhead,-1.365314,195.803141,0.393749,false,-0.193085,negligible
0.6,0.67,Final Treasury,1.058017,193.094444,0.571381,false,0.149626,negligible
0.67,0.75,Proposal Pass Rate,-1.358837,196.788319,0.397238,false,-0.192169,negligible
0.67,0.75,Proposal Rejection Rate,1.358837,196.788319,0.397238,false,0.192169,negligible
0.67,0.75,Governance Capture Risk,1.224103,194.447896,0.472738,false,0.173114,negligible
0.67,0.75,Single Entity Control,-0.334772,194.262108,0.945505,false,-0.047344,negligible
0.67,0.75,Avg Time to Decision,-1.804833,195.699457,0.196182,false,-0.255242,small
0.67,0.75,Proposal Abandonment Rate,0.222883,195.468473,0.975468,false,0.031520,negligible
0.67,0.75,Whale Influence,-1.566327,196.546936,0.293262,false,-0.221512,small
0.67,0.75,Delegate Concentration,-0.851768,192.579589,0.695757,false,-0.120458,negligible
0.67,0.75,Collusion Threshold,0.320880,197.876713,0.949821,false,0.045379,negligible
0.67,0.75,Avg Margin of Victory,-2.342029,195.886794,0.064406,false,-0.331213,small
0.67,0.75,Voter Participation Rate,0.001036,196.164201,0.999999,false,0.000147,negligible
0.67,0.75,Average Turnout,-1.166359,196.825147,0.506517,false,-0.164948,negligible
0.67,0.75,Quorum Reach Rate,-0.905977,176.332035,0.663387,false,-0.128124,negligible
0.67,0.75,Total Proposals,-1.631531,196.225336,0.264227,false,-0.230733,small
0.67,0.75,Governance Overhead,0.197936,194.920229,0.980601,false,0.027992,negligible
0.67,0.75,Final Treasury,0.567005,194.461273,0.851507,false,0.080187,negligible

# One-Way ANOVA Results
metric,f_statistic,df_between,df_within,p_value,significant
Proposal Pass Rate,0.953354,4,495,0.496652,false
Proposal Rejection Rate,0.953354,4,495,0.496652,false
Governance Capture Risk,1.527560,4,495,0.348394,false
Single Entity Control,1.884721,4,495,0.232573,false
Avg Time to Decision,1.042652,4,495,0.485528,false
Proposal Abandonment Rate,0.198034,4,495,0.191067,false
Whale Influence,0.796711,4,495,0.496345,false
Delegate Concentration,0.661272,4,495,0.470996,false
Collusion Threshold,1.631633,4,495,0.313224,false
Avg Margin of Victory,1.621575,4,495,0.316601,false
Voter Participation Rate,0.900601,4,495,0.499631,false
Average Turnout,0.419703,4,495,0.359180,false
Quorum Reach Rate,1.037088,4,495,0.486423,false
Total Proposals,1.548504,4,495,0.341295,false
Governance Overhead,0.990092,4,495,0.492941,false
Final Treasury,3.396529,4,495,0.018541,true

# Power Analysis
current_runs_per_config,100
recommended_runs,63
current_power,0.890972
minimum_effect_detectable,0.395980
