# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
24,72,Whale Influence,4.306929,197.107817,0.000094,true,0.609092,medium
24,72,Whale Proposal Rate,-1.309481,197.851648,0.424276,false,-0.185189,negligible
24,72,Single Entity Control,0.870899,196.675504,0.684386,false,0.123164,negligible
24,72,Avg Time to Decision,-107.759952,113.922876,0,true,-15.239559,very_large
24,72,Proposal Abandonment Rate,-16.777810,162.962995,0.000000,true,-2.372741,very_large
24,72,Voter Concentration Gini,-3.759417,190.061570,0.000853,true,-0.531662,medium
24,72,Delegate Concentration,2.103749,197.956520,0.109385,false,0.297515,small
24,72,Governance Capture Risk,-2.207135,197.971222,0.087534,false,-0.312136,small
24,72,Voter Participation Rate,4.157931,193.878809,0.000176,true,0.588020,medium
24,72,Average Turnout,3.258042,197.955658,0.004955,true,0.460757,small
24,72,Voter Retention Rate,0.924517,192.534608,0.652225,false,0.130746,negligible
24,72,Proposal Pass Rate,3.070309,197.989126,0.008974,true,0.434207,small
24,72,Avg Margin of Victory,1.998221,196.302845,0.135817,false,0.282591,small
24,72,Quorum Reach Rate,-1.802458,138.739550,0.197024,false,-0.254906,small
24,72,Final Treasury,-0.939376,197.308256,0.643255,false,-0.132848,negligible
24,72,Treasury Growth Rate,-1.037867,196.291499,0.583574,false,-0.146777,negligible
72,168,Whale Influence,4.397614,190.237896,0.000063,true,0.621917,medium
72,168,Whale Proposal Rate,-0.422559,197.159591,0.914591,false,-0.059759,negligible
72,168,Single Entity Control,-0.399399,194.466023,0.923338,false,-0.056484,negligible
72,168,Avg Time to Decision,-54.259645,114.749396,0,true,-7.673473,very_large
72,168,Proposal Abandonment Rate,-20.690418,174.870863,0.000000,true,-2.926067,very_large
72,168,Voter Concentration Gini,-8.334769,183.122724,0.000000,true,-1.178714,large
72,168,Delegate Concentration,2.949265,197.975154,0.012919,true,0.417089,small
72,168,Governance Capture Risk,-3.426877,197.710407,0.002818,true,-0.484634,small
72,168,Voter Participation Rate,9.580670,181.194478,0.000000,true,1.354911,very_large
72,168,Average Turnout,8.214022,187.969702,0.000000,true,1.161638,large
72,168,Voter Retention Rate,-2.339598,161.454050,0.064773,false,-0.330869,small
72,168,Proposal Pass Rate,-1.019711,187.935978,0.594577,false,-0.144209,negligible
72,168,Avg Margin of Victory,-1.203785,194.090473,0.484543,false,-0.170241,negligible
72,168,Quorum Reach Rate,1.824936,143.540041,0.189154,false,0.258085,small
72,168,Final Treasury,-0.079140,196.554223,0.996873,false,-0.011192,negligible
72,168,Treasury Growth Rate,-0.101334,196.338489,0.994879,false,-0.014331,negligible
168,336,Whale Influence,8.509724,197.962315,0.000000,true,1.203457,very_large
168,336,Whale Proposal Rate,3.909412,191.228129,0.000480,true,0.552874,medium
168,336,Single Entity Control,1.374626,190.647579,0.388758,false,0.194401,negligible
168,336,Avg Time to Decision,-26.653171,128.075143,0.000000,true,-3.769328,very_large
168,336,Proposal Abandonment Rate,-31.817383,197.500090,0.000000,true,-4.499657,very_large
168,336,Voter Concentration Gini,-11.362040,175.897206,0.000000,true,-1.606835,very_large
168,336,Delegate Concentration,6.256685,195.448080,0.000000,true,0.884829,large
168,336,Governance Capture Risk,-7.100369,185.509488,0.000000,true,-1.004144,large
168,336,Voter Participation Rate,11.231738,181.957731,0.000000,true,1.588408,very_large
168,336,Average Turnout,10.416237,190.571019,0.000000,true,1.473078,very_large
168,336,Voter Retention Rate,4.776443,128.153918,0.000011,true,0.675491,medium
168,336,Proposal Pass Rate,-0.924785,196.317457,0.652063,false,-0.130784,negligible
168,336,Avg Margin of Victory,-0.418462,181.232903,0.916168,false,-0.059179,negligible
168,336,Quorum Reach Rate,-1.000605,182.003025,0.606164,false,-0.141507,negligible
168,336,Final Treasury,1.159426,195.927759,0.510618,false,0.163968,negligible
168,336,Treasury Growth Rate,1.251140,195.023029,0.457181,false,0.176938,negligible
336,720,Whale Influence,13.458681,195.893776,0.000000,true,1.903345,very_large
336,720,Whale Proposal Rate,-3.929614,197.999373,0.000443,true,-0.555731,medium
336,720,Single Entity Control,-0.348819,192.486175,0.940976,false,-0.049331,negligible
336,720,Avg Time to Decision,67.232244,99.246612,0,true,9.508075,very_large
336,720,Proposal Abandonment Rate,-32.914017,193.883159,0.000000,true,-4.654745,very_large
336,720,Voter Concentration Gini,-29.195164,181.754778,0.000000,true,-4.128820,very_large
336,720,Delegate Concentration,15.284627,177.488888,0.000000,true,2.161573,very_large
336,720,Governance Capture Risk,-1.109056,162.956479,0.540639,false,-0.156844,negligible
336,720,Voter Participation Rate,28.454336,142.056353,0.000000,true,4.024051,very_large
336,720,Average Turnout,25.845012,169.937867,0.000000,true,3.655037,very_large
336,720,Voter Retention Rate,0.081044,191.338518,0.996721,false,0.011461,negligible
336,720,Proposal Pass Rate,1.253738,143.740212,0.455696,false,0.177305,negligible
336,720,Avg Margin of Victory,-3.305346,175.211761,0.004242,true,-0.467447,small
336,720,Quorum Reach Rate,0.508502,188.788546,0.878722,false,0.071913,negligible
336,720,Final Treasury,-2.066475,187.991186,0.118226,false,-0.292244,small
336,720,Treasury Growth Rate,-2.145451,186.517564,0.100111,false,-0.303413,small

# One-Way ANOVA Results
metric,f_statistic,df_between,df_within,p_value,significant
Whale Influence,316.375231,4,495,0,true
Whale Proposal Rate,5.324622,4,495,0.000268,true
Single Entity Control,1.251617,4,495,0.437095,false
Avg Time to Decision,3308.496687,4,495,0,true
Proposal Abandonment Rate,4058.225931,4,495,0,true
Voter Concentration Gini,1219.899453,4,495,0,true
Delegate Concentration,259.947538,4,495,0,true
Governance Capture Risk,52.910593,4,495,0.000000,true
Voter Participation Rate,1193.378667,4,495,0,true
Average Turnout,884.870447,4,495,0,true
Voter Retention Rate,8.785373,4,495,0.000000,true
Proposal Pass Rate,1.820860,4,495,0.251916,false
Avg Margin of Victory,9.832078,4,495,0.000000,true
Quorum Reach Rate,1.044166,4,495,0.485281,false
Final Treasury,1.455918,4,495,0.372565,false
Treasury Growth Rate,1.614267,4,495,0.319059,false

# Power Analysis
current_runs_per_config,100
recommended_runs,63
current_power,0.890972
minimum_effect_detectable,0.395980
