# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Proposal Pass Rate,-1.556476,42.464431,0.127017,false,-0.440238,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Average Turnout,-2.854112,47.151843,0.006393,true,-0.807265,large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Final Treasury,-1.697823,39.495297,0.097408,false,-0.480217,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Final Token Price,-1.797183,29.260227,0.082636,false,-0.508320,medium
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Final Member Count,0,48,1,false,0,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Total Proposals,-1.845467,47.927891,0.071152,false,-0.521977,medium
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Quorum Reach Rate,-3.401805,43.853397,0.001438,true,-0.962176,large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Avg Margin of Victory,-0.161545,47.824289,0.872344,false,-0.045692,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Avg Time to Decision,1.308147,47.694205,0.197093,false,0.370000,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Proposal Abandonment Rate,0.279635,47.790354,0.780964,false,0.079093,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Proposal Rejection Rate,1.556476,42.464431,0.127017,false,0.440238,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Governance Overhead,-3.178821,42.841298,0.002746,true,-0.899106,large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Unique Voter Count,0,48,1,false,0,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Voter Participation Rate,-3.247205,42.300661,0.002284,true,-0.918448,large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Voter Concentration Gini,1.232542,47.028650,0.223873,false,0.348615,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Delegate Concentration,-1.984700,47.594294,0.052959,false,-0.561358,medium
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Avg Votes Per Proposal,-3.247205,42.300661,0.002284,true,-0.918448,large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Voter Retention Rate,-1.081253,47.988376,0.284988,false,-0.305825,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Voting Power Utilization,-2.854112,47.151843,0.006393,true,-0.807265,large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Treasury Volatility,1.032941,47.730822,0.306837,false,0.292160,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Treasury Growth Rate,-0.321797,44.628689,0.749109,false,-0.091018,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Staking Participation,-0.105399,46.067778,0.916517,false,-0.029811,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Token Concentration Gini,0.309563,46.499822,0.758277,false,0.087557,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Avg Member Wealth,0.044488,46.061250,0.964708,false,0.012583,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Wealth Mobility,-0.309563,46.499822,0.758277,false,-0.087557,negligible
