# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
0.01,0.03,Proposal Pass Rate,-1.748444,57.993787,0.085679,false,-0.451446,small
0.01,0.03,Average Turnout,-0.960524,56.499718,0.340884,false,-0.248006,small
0.01,0.03,Final Treasury,-1.545036,55.486424,0.128022,false,-0.398927,small
0.01,0.03,Final Token Price,-1.359376,31.410278,0.183707,false,-0.350989,small
0.01,0.03,Final Member Count,0,58,1,false,0,negligible
0.01,0.03,Total Proposals,1.202466,57.733881,0.234091,false,0.310475,small
0.01,0.03,Quorum Reach Rate,-1.815293,57.767399,0.074671,false,-0.468707,small
0.01,0.03,Avg Margin of Victory,-0.016708,57.954732,0.986727,false,-0.004314,negligible
0.01,0.03,Avg Time to Decision,-1.219838,57.962937,0.227467,false,-0.314961,small
0.01,0.03,Proposal Abandonment Rate,1.455168,47.234995,0.152237,false,0.375723,small
0.01,0.03,Proposal Rejection Rate,1.748444,57.993787,0.085679,false,0.451446,small
0.01,0.03,Governance Overhead,-0.113774,57.323124,0.909814,false,-0.029376,negligible
0.01,0.03,Unique Voter Count,0,58,1,false,0,negligible
0.01,0.03,Voter Participation Rate,-0.270499,56.961639,0.787754,false,-0.069843,negligible
0.01,0.03,Voter Concentration Gini,-0.916794,53.748751,0.363346,false,-0.236715,small
0.01,0.03,Delegate Concentration,-0.353059,49.382374,0.725547,false,-0.091159,negligible
0.01,0.03,Avg Votes Per Proposal,-0.270499,56.961639,0.787754,false,-0.069843,negligible
0.01,0.03,Voter Retention Rate,0,58,1,false,0,negligible
0.01,0.03,Voting Power Utilization,-0.960524,56.499718,0.340884,false,-0.248006,small
0.01,0.03,Treasury Volatility,-0.759542,57.992024,0.450605,false,-0.196113,negligible
0.01,0.03,Treasury Growth Rate,0.494361,57.359157,0.622939,false,0.127644,negligible
0.01,0.03,Staking Participation,-1.282294,56.979968,0.204932,false,-0.331087,small
0.01,0.03,Token Concentration Gini,2.361936,56.391528,0.021657,false,0.609849,medium
0.01,0.03,Avg Member Wealth,1.363004,57.092659,0.178233,false,0.351926,small
0.01,0.03,Wealth Mobility,-2.361936,56.391528,0.021657,false,-0.609849,medium
0.01,0.03,Whale Influence,0.467647,57.895627,0.641793,false,0.120746,negligible
0.01,0.03,Whale Proposal Rate,-0.158449,57.912209,0.874654,false,-0.040911,negligible
0.01,0.03,Governance Capture Risk,-1.087072,46.958294,0.282554,false,-0.280681,small
0.01,0.03,Vote Buying Vulnerability,-0.126946,56.774855,0.899432,false,-0.032777,negligible
0.01,0.03,Single Entity Control,-1.350773,56.773499,0.182128,false,-0.348768,small
0.01,0.03,Collusion Threshold,-1.577739,57.962083,0.120068,false,-0.407370,small
0.01,0.03,Participation Trend,-1.085833,57.481443,0.282086,false,-0.280361,small
0.01,0.03,Treasury Trend,-0.244600,57.981556,0.807630,false,-0.063155,negligible
0.01,0.03,Member Growth Rate,0,58,1,false,0,negligible
0.01,0.03,Proposal Rate,1.202466,57.733881,0.234091,false,0.310475,small
0.01,0.03,Governance Activity Index,-0.316731,56.018606,0.752625,false,-0.081780,negligible
0.01,0.03,Final Gini,2.361936,56.391528,0.021657,false,0.609849,medium
0.01,0.03,Final Reputation Gini,0.638741,34.355808,0.527227,false,0.164922,negligible
0.01,0.05,Proposal Pass Rate,-1.917636,57.100100,0.060164,false,-0.495132,small
0.01,0.05,Average Turnout,-1.348453,52.055385,0.183351,false,-0.348169,small
0.01,0.05,Final Treasury,-2.568790,45.537112,0.013551,false,-0.663259,medium
0.01,0.05,Final Token Price,-1.035147,51.486799,0.305438,false,-0.267274,small
0.01,0.05,Final Member Count,0,58,1,false,0,negligible
0.01,0.05,Total Proposals,-0.382562,57.935486,0.703444,false,-0.098777,negligible
0.01,0.05,Quorum Reach Rate,-1.713731,56.933377,0.092019,false,-0.442483,small
0.01,0.05,Avg Margin of Victory,0.017222,57.850613,0.986319,false,0.004447,negligible
0.01,0.05,Avg Time to Decision,-1.098993,57.500152,0.276352,false,-0.283759,small
0.01,0.05,Proposal Abandonment Rate,0.298191,55.209093,0.766677,false,0.076992,negligible
0.01,0.05,Proposal Rejection Rate,1.917636,57.100100,0.060164,false,0.495132,small
0.01,0.05,Governance Overhead,-0.830791,54.590412,0.409711,false,-0.214509,small
0.01,0.05,Unique Voter Count,0,58,1,false,0,negligible
0.01,0.05,Voter Participation Rate,-0.877529,54.328173,0.384063,false,-0.226577,small
0.01,0.05,Voter Concentration Gini,0.729537,52.897254,0.468891,false,0.188366,negligible
0.01,0.05,Delegate Concentration,0.702671,51.233936,0.485442,false,0.181429,negligible
0.01,0.05,Avg Votes Per Proposal,-0.877529,54.328173,0.384063,false,-0.226577,small
0.01,0.05,Voter Retention Rate,1.000000,29,0.325582,false,0.258199,small
0.01,0.05,Voting Power Utilization,-1.348453,52.055385,0.183351,false,-0.348169,small
0.01,0.05,Treasury Volatility,-1.591335,57.840519,0.116985,false,-0.410881,small
0.01,0.05,Treasury Growth Rate,-0.320952,48.150813,0.749636,false,-0.082869,negligible
0.01,0.05,Staking Participation,-1.947761,56.824048,0.056390,false,-0.502910,medium
0.01,0.05,Token Concentration Gini,2.038171,57.987299,0.046103,false,0.526253,medium
0.01,0.05,Avg Member Wealth,1.985258,57.300264,0.051909,false,0.512591,medium
0.01,0.05,Wealth Mobility,-2.038171,57.987299,0.046103,false,-0.526253,medium
0.01,0.05,Whale Influence,1.236697,57.022680,0.221269,false,0.319314,small
0.01,0.05,Whale Proposal Rate,0.190048,56.922112,0.849948,false,0.049070,negligible
0.01,0.05,Governance Capture Risk,-0.078513,49.368196,0.937737,false,-0.020272,negligible
0.01,0.05,Vote Buying Vulnerability,0.667792,57.885677,0.506920,false,0.172423,negligible
0.01,0.05,Single Entity Control,-1.939024,56.871245,0.057466,false,-0.500654,medium
0.01,0.05,Collusion Threshold,-1.937080,55.617214,0.057821,false,-0.500152,medium
0.01,0.05,Participation Trend,-0.761230,56.687072,0.449675,false,-0.196549,negligible
0.01,0.05,Treasury Trend,1.083077,49.786089,0.283992,false,0.279649,small
0.01,0.05,Member Growth Rate,0,58,1,false,0,negligible
0.01,0.05,Proposal Rate,-0.382562,57.935486,0.703444,false,-0.098777,negligible
0.01,0.05,Governance Activity Index,-1.403756,53.048325,0.166219,false,-0.362448,small
0.01,0.05,Final Gini,2.038171,57.987299,0.046103,false,0.526253,medium
0.01,0.05,Final Reputation Gini,0.410841,55.645907,0.682767,false,0.106079,negligible
0.01,0.08,Proposal Pass Rate,-0.481517,57.441096,0.631979,false,-0.124327,negligible
0.01,0.08,Average Turnout,0.320867,56.823976,0.749488,false,0.082847,negligible
0.01,0.08,Final Treasury,-2.703389,42.626079,0.009818,false,-0.698012,medium
0.01,0.08,Final Token Price,-1.597881,35.938419,0.118826,false,-0.412571,small
0.01,0.08,Final Member Count,0,58,1,false,0,negligible
0.01,0.08,Total Proposals,-0.607483,57.264258,0.545932,false,-0.156851,negligible
0.01,0.08,Quorum Reach Rate,0.010258,55.829400,0.991852,false,0.002649,negligible
0.01,0.08,Avg Margin of Victory,0.155667,50.744418,0.876913,false,0.040193,negligible
0.01,0.08,Avg Time to Decision,-0.366917,57.224021,0.715034,false,-0.094738,negligible
0.01,0.08,Proposal Abandonment Rate,1.121743,53.822737,0.266951,false,0.289633,small
0.01,0.08,Proposal Rejection Rate,0.481517,57.441096,0.631979,false,0.124327,negligible
0.01,0.08,Governance Overhead,0.522233,57.640670,0.603509,false,0.134840,negligible
0.01,0.08,Unique Voter Count,0,58,1,false,0,negligible
0.01,0.08,Voter Participation Rate,0.405081,57.527545,0.686921,false,0.104591,negligible
0.01,0.08,Voter Concentration Gini,-0.728920,53.672169,0.469220,false,-0.188206,negligible
0.01,0.08,Delegate Concentration,-1.059870,51.084404,0.294189,false,-0.273657,small
0.01,0.08,Avg Votes Per Proposal,0.405081,57.527545,0.686921,false,0.104591,negligible
0.01,0.08,Voter Retention Rate,0,58,1,false,0,negligible
0.01,0.08,Voting Power Utilization,0.320867,56.823976,0.749488,false,0.082847,negligible
0.01,0.08,Treasury Volatility,0.167318,57.551893,0.867707,false,0.043201,negligible
0.01,0.08,Treasury Growth Rate,-1.404928,50.278799,0.166191,false,-0.362751,small
0.01,0.08,Staking Participation,-0.598872,54.976098,0.551718,false,-0.154628,negligible
0.01,0.08,Token Concentration Gini,0.120338,56.246202,0.904644,false,0.031071,negligible
0.01,0.08,Avg Member Wealth,0.532729,55.026283,0.596366,false,0.137550,negligible
