sweep_value,run_count,Treasury Volatility_mean,Treasury Volatility_median,Treasury Volatility_std,Treasury Volatility_se,Treasury Volatility_ci95_lower,Treasury Volatility_ci95_upper,Treasury Volatility_bootstrap_ci95_lower,Treasury Volatility_bootstrap_ci95_upper,Treasury Volatility_min,Treasury Volatility_max,Treasury Volatility_iqr,Treasury Volatility_cv,Treasury Growth Rate_mean,Treasury Growth Rate_median,Treasury Growth Rate_std,Treasury Growth Rate_se,Treasury Growth Rate_ci95_lower,Treasury Growth Rate_ci95_upper,Treasury Growth Rate_bootstrap_ci95_lower,Treasury Growth Rate_bootstrap_ci95_upper,Treasury Growth Rate_min,Treasury Growth Rate_max,Treasury Growth Rate_iqr,Treasury Growth Rate_cv,Final Treasury_mean,Final Treasury_median,Final Treasury_std,Final Treasury_se,Final Treasury_ci95_lower,Final Treasury_ci95_upper,Final Treasury_bootstrap_ci95_lower,Final Treasury_bootstrap_ci95_upper,Final Treasury_min,Final Treasury_max,Final Treasury_iqr,Final Treasury_cv,Treasury Trend_mean,Treasury Trend_median,Treasury Trend_std,Treasury Trend_se,Treasury Trend_ci95_lower,Treasury Trend_ci95_upper,Treasury Trend_bootstrap_ci95_lower,Treasury Trend_bootstrap_ci95_upper,Treasury Trend_min,Treasury Trend_max,Treasury Trend_iqr,Treasury Trend_cv,Final Token Price_mean,Final Token Price_median,Final Token Price_std,Final Token Price_se,Final Token Price_ci95_lower,Final Token Price_ci95_upper,Final Token Price_bootstrap_ci95_lower,Final Token Price_bootstrap_ci95_upper,Final Token Price_min,Final Token Price_max,Final Token Price_iqr,Final Token Price_cv,Proposal Pass Rate_mean,Proposal Pass Rate_median,Proposal Pass Rate_std,Proposal Pass Rate_se,Proposal Pass Rate_ci95_lower,Proposal Pass Rate_ci95_upper,Proposal Pass Rate_bootstrap_ci95_lower,Proposal Pass Rate_bootstrap_ci95_upper,Proposal Pass Rate_min,Proposal Pass Rate_max,Proposal Pass Rate_iqr,Proposal Pass Rate_cv,Quorum Reach Rate_mean,Quorum Reach Rate_median,Quorum Reach Rate_std,Quorum Reach Rate_se,Quorum Reach Rate_ci95_lower,Quorum Reach Rate_ci95_upper,Quorum Reach Rate_bootstrap_ci95_lower,Quorum Reach Rate_bootstrap_ci95_upper,Quorum Reach Rate_min,Quorum Reach Rate_max,Quorum Reach Rate_iqr,Quorum Reach Rate_cv
treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,25,0.177925,0.177350,0.005419,0.001084,0.175688,0.180162,0.176079,0.179721,0.165444,0.186642,0.005291,0.030459,-0.739614,-0.749146,0.010346,0.002069,-0.743885,-0.735344,-0.742864,-0.733927,-0.749412,-0.728816,0.020297,0.013988,10030.864054,10030.210115,3.545076,0.709015,10029.400719,10032.327390,10029.704583,10032.648185,10024.362066,10039.711424,1.594512,0.000353,-0.741053,-0.741980,0.024219,0.004844,-0.751050,-0.731055,-0.748042,-0.730994,-0.785855,-0.692952,0.024084,0.032682,3.695380,2.294561,4.765177,0.953035,1.728412,5.662348,2.149351,5.362551,0.998232,20.572061,2.117111,1.289496,0.084141,0.072072,0.030835,0.006167,0.071413,0.096869,0.074796,0.097965,0.037234,0.139423,0.046462,0.366468,0.327393,0.327189,0.039459,0.007892,0.311105,0.343681,0.316859,0.344706,0.248705,0.411765,0.057243,0.120524
treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.2,25,0.173800,0.178053,0.012482,0.002496,0.168648,0.178952,0.166593,0.177170,0.139801,0.186797,0.019165,0.071816,-0.741589,-0.749371,0.012755,0.002551,-0.746854,-0.736323,-0.744915,-0.733785,-0.749474,-0.721465,0.027769,0.017200,10030.141056,10029.960199,1.974828,0.394966,10029.325887,10030.956224,10029.477339,10031.294329,10026.603380,10035.710249,1.406586,0.000197,-0.711286,-0.699867,0.066087,0.013217,-0.738565,-0.684006,-0.730546,-0.673116,-0.785939,-0.528090,0.096690,0.092912,2.147098,1.551424,1.335664,0.267133,1.595764,2.698433,1.595441,2.535837,1.026115,6.064323,1.054964,0.622078,0.073710,0.069149,0.025464,0.005093,0.063199,0.084221,0.062534,0.082950,0.030151,0.110048,0.048295,0.345465,0.313459,0.318182,0.038311,0.007662,0.297645,0.329273,0.300836,0.325210,0.253394,0.414141,0.047600,0.122220
treasury_stabilization_enabled=true_treasury_buffer_fraction=0.2_treasury_max_spend_fraction=0.1,25,0.188443,0.190596,0.019665,0.003933,0.180326,0.196561,0.181787,0.197256,0.144099,0.213599,0.024916,0.104358,-0.714117,-0.720371,0.011457,0.002291,-0.718846,-0.709388,-0.718916,-0.710784,-0.731575,-0.697072,0.023074,0.016043,11981.710729,12029.804691,125.441516,25.088303,11929.931017,12033.490442,11943.977046,12029.327843,11548.661184,12039.306915,3.897299,0.010469,-1.008941,-1.051986,0.239422,0.047884,-1.107770,-0.910113,-1.103863,-0.910156,-1.451054,-0.562997,0.359759,0.237301,2.815289,1.577946,3.297499,0.659500,1.454148,4.176430,1.727669,4.581878,0.934704,15.813501,1.114608,1.171283,0.077342,0.071429,0.026267,0.005253,0.066499,0.088184,0.069186,0.086846,0.037736,0.131455,0.015850,0.339628,0.327916,0.335000,0.038750,0.007750,0.311921,0.343911,0.304559,0.338155,0.257143,0.400000,0.046400,0.118170
treasury_stabilization_enabled=true_treasury_buffer_fraction=0.2_treasury_max_spend_fraction=0.2,25,0.194539,0.204981,0.028028,0.005606,0.182970,0.206109,0.185152,0.205645,0.143399,0.226846,0.045351,0.144074,-0.711810,-0.720339,0.016210,0.003242,-0.718501,-0.705118,-0.719530,-0.706957,-0.735231,-0.689224,0.030909,0.022773,11879.831654,12029.773894,450.772309,90.154462,11693.761990,12065.901318,11683.395249,12030.947639,10291.914456,12043.047867,2.684432,0.037944,-0.889804,-0.860443,0.356614,0.071323,-1.037007,-0.742602,-1.069158,-0.777295,-1.841738,-0.012135,0.311732,0.400778,3.411873,1.448465,4.800350,0.960070,1.430386,5.393360,2.097648,6.279557,0.971816,20.581155,1.259674,1.406955,0.085692,0.078704,0.023621,0.004724,0.075941,0.095442,0.078858,0.094626,0.045226,0.128079,0.040315,0.275654,0.327595,0.309091,0.044120,0.008824,0.309383,0.345806,0.316079,0.352049,0.256881,0.417910,0.064488,0.134678
treasury_stabilization_enabled=true_treasury_buffer_fraction=0.4_treasury_max_spend_fraction=0.1,25,0.235009,0.244777,0.047429,0.009486,0.215431,0.254586,0.224234,0.259953,0.142792,0.313378,0.060516,0.201818,-0.693451,-0.695152,0.022437,0.004487,-0.702712,-0.684189,-0.703445,-0.686376,-0.754461,-0.669017,0.027921,0.032355,13602.695075,14030.509135,838.755162,167.751032,13256.473960,13948.916189,12935.417420,13696.004196,11305.092177,14041.272628,161.298595,0.061661,-1.607048,-1.506099,0.817883,0.163577,-1.944653,-1.269442,-1.952595,-1.413147,-3.649265,-0.034653,0.998668,0.508935,2.750629,1.780282,2.591669,0.518334,1.680841,3.820418,1.948363,3.892062,1.030798,12.027269,1.013339,0.942210,0.086240,0.085308,0.028833,0.005767,0.074339,0.098142,0.078382,0.102563,0.026882,0.164021,0.027017,0.334332,0.335698,0.334842,0.039307,0.007861,0.319473,0.351924,0.324629,0.353788,0.231579,0.411765,0.049185,0.117090
treasury_stabilization_enabled=true_treasury_buffer_fraction=0.4_treasury_max_spend_fraction=0.2,25,0.239241,0.257432,0.044990,0.008998,0.220670,0.257811,0.218461,0.252229,0.136316,0.316969,0.063367,0.188052,-0.690579,-0.694793,0.034446,0.006889,-0.704797,-0.676360,-0.703976,-0.680103,-0.773882,-0.661275,0.037864,0.049880,13392.040777,14029.710540,1142.478523,228.495705,12920.448821,13863.632733,12952.642330,13786.090243,10407.206765,14047.308095,1429.375336,0.085310,-1.216083,-1.005534,0.971225,0.194245,-1.616985,-0.815181,-1.582149,-0.818847,-3.254804,0.325529,1.496841,0.798651,2.725560,1.995583,2.215190,0.443038,1.811175,3.639946,1.883566,3.701606,0.920464,9.202070,2.207946,0.812747,0.081382,0.074419,0.029941,0.005988,0.069023,0.093741,0.069856,0.093136,0.029940,0.141243,0.036236,0.367910,0.331530,0.333333,0.052333,0.010467,0.309928,0.353132,0.307106,0.347664,0.236842,0.439560,0.056972,0.157853
treasury_stabilization_enabled=false_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,25,0.467531,0.471168,0.099347,0.019869,0.426523,0.508540,0.443817,0.520974,0.250499,0.755000,0.112496,0.212492,-0.533683,-0.626827,0.297663,0.059533,-0.656552,-0.410813,-0.643092,-0.457669,-0.802203,0.361618,0.361070,0.557752,22589.989614,18668.986531,15029.606433,3005.921287,16386.072995,28793.906234,16696.934368,26062.694117,9547.497774,68118.593124,18654.392585,0.665322,1.781188,-0.044314,10.621975,2.124395,-2.603348,6.165724,-4.145153,3.052208,-21.373601,27.537247,10.863450,5.963421,2.645112,1.640441,2.431771,0.486354,1.641326,3.648898,1.884846,3.754447,0.957486,10.683281,1.402200,0.919345,0.092763,0.088372,0.029287,0.005857,0.080674,0.104852,0.082612,0.104923,0.035533,0.155914,0.040744,0.315722,0.347097,0.349282,0.037887,0.007577,0.331458,0.362736,0.326712,0.358813,0.275862,0.430556,0.051417,0.109155
treasury_stabilization_enabled=false_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.2,25,0.507641,0.504038,0.111634,0.022327,0.461561,0.553722,0.458744,0.549605,0.249914,0.763854,0.135559,0.219907,-0.468590,-0.557926,0.313321,0.062664,-0.597923,-0.339258,-0.627573,-0.381938,-0.787885,0.332383,0.424249,0.668646,25682.894336,22123.779494,15337.640575,3067.528115,19351.827472,32013.961201,18079.794846,29880.541497,10216.000643,66669.343714,21224.183692,0.597193,-2.304142,-1.402681,16.322563,3.264513,-9.041765,4.433481,-7.866019,5.114821,-32.714991,29.627572,16.915365,7.084010,5.990177,1.893960,15.766907,3.153381,-0.518082,12.498436,2.281493,15.526072,1.068181,80.359427,1.828194,2.632127,0.077966,0.075758,0.022914,0.004583,0.068508,0.087425,0.068941,0.086513,0.039409,0.128342,0.027965,0.293897,0.346660,0.346734,0.034261,0.006852,0.332517,0.360802,0.329597,0.351700,0.274775,0.444954,0.034933,0.098832
treasury_stabilization_enabled=false_treasury_buffer_fraction=0.2_treasury_max_spend_fraction=0.1,25,0.470193,0.460128,0.118855,0.023771,0.421133,0.519254,0.436784,0.528917,0.270946,0.829187,0.120167,0.252778,-0.475054,-0.577248,0.334299,0.066860,-0.613046,-0.337062,-0.585498,-0.350329,-0.816265,0.465851,0.381199,0.703709,25308.124420,21060.604943,16048.477783,3209.695557,18683.638377,31932.610462,20764.030750,31766.832694,9191.824907,65999.837483,19533.157672,0.634124,1.097801,-0.926841,11.287698,2.257540,-3.561532,5.757133,-3.075018,5.101545,-26.365352,28.135325,9.233285,10.282101,2.818928,1.585012,2.897836,0.579567,1.622760,4.015096,1.878601,3.801507,0.980774,12.468402,1.304349,1.027992,0.086016,0.083333,0.024225,0.004845,0.076016,0.096016,0.074090,0.093138,0.047393,0.126374,0.040873,0.281633,0.346652,0.344340,0.046505,0.009301,0.327456,0.365849,0.325169,0.359086,0.267380,0.433790,0.071059,0.134156
treasury_stabilization_enabled=false_treasury_buffer_fraction=0.2_treasury_max_spend_fraction=0.2,25,0.455236,0.466810,0.064852,0.012970,0.428466,0.482005,0.426622,0.482450,0.324730,0.617936,0.101336,0.142457,-0.382647,-0.412866,0.425960,0.085192,-0.558474,-0.206819,-0.594242,-0.321810,-0.817083,0.414390,0.594802,1.113194,29478.744567,27189.975179,19763.238186,3952.647637,21320.880794,37636.608340,19686.187707,32548.123742,9150.928207,67776.405955,29756.553551,0.670423,2.902633,-0.039694,14.658923,2.931785,-3.148273,8.953539,-5.985201,3.964720,-31.843307,28.327038,17.549686,5.050216,2.987567,1.859723,3.424434,0.684887,1.574030,4.401104,1.754642,3.230829,0.919587,17.367923,1.315445,1.146228,0.089364,0.087719,0.027997,0.005599,0.077808,0.100921,0.075579,0.100561,0.041667,0.145455,0.039282,0.313290,0.328782,0.337662,0.036035,0.007207,0.313907,0.343657,0.308951,0.339896,0.263959,0.379464,0.062996,0.109603
