# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
0.01,0.03,Proposal Pass Rate,-0.899115,197.783947,0.369685,false,-0.127154,negligible
0.01,0.03,Average Turnout,-0.478058,197.784991,0.633137,false,-0.067608,negligible
0.01,0.03,Final Treasury,0.192400,197.926346,0.847626,false,0.027209,negligible
0.01,0.03,Final Token Price,0.385932,153.523884,0.700081,false,0.054579,negligible
0.01,0.03,Final Member Count,0,198,1,false,0,negligible
0.01,0.03,Total Proposals,0.846414,196.366190,0.398352,false,0.119701,negligible
0.01,0.03,Quorum Reach Rate,-0.009866,196.585891,0.992138,false,-0.001395,negligible
0.01,0.03,Avg Margin of Victory,-1.396406,197.987384,0.164156,false,-0.197482,negligible
0.01,0.03,Avg Time to Decision,0.386953,196.863048,0.699209,false,0.054723,negligible
0.01,0.03,Proposal Abandonment Rate,0,198,1,false,0,negligible
0.01,0.03,Proposal Rejection Rate,0.899115,197.783947,0.369685,false,0.127154,negligible
0.01,0.03,Governance Overhead,1.676090,192.053118,0.095348,false,0.237035,small
0.01,0.03,Unique Voter Count,-0.441327,197.966570,0.659458,false,-0.062413,negligible
0.01,0.03,Voter Participation Rate,1.631322,193.004802,0.104453,false,0.230704,small
0.01,0.03,Voter Concentration Gini,-1.770102,177.669122,0.078425,false,-0.250330,small
0.01,0.03,Delegate Concentration,1.434256,191.379814,0.153131,false,0.202834,small
0.01,0.03,Avg Votes Per Proposal,1.631322,193.004802,0.104453,false,0.230704,small
0.01,0.03,Voter Retention Rate,0.795272,197.862703,0.427408,false,0.112468,negligible
0.01,0.03,Voting Power Utilization,-0.480981,197.769865,0.631062,false,-0.068021,negligible
0.01,0.03,Treasury Volatility,-1.641003,197.243316,0.102390,false,-0.232073,small
0.01,0.03,Treasury Growth Rate,1.150221,197.377722,0.251445,false,0.162666,negligible
0.01,0.03,Staking Participation,-1.423042,190.761662,0.156357,false,-0.201248,small
0.01,0.03,Token Concentration Gini,1.110542,196.339063,0.268124,false,0.157054,negligible
0.01,0.03,Avg Member Wealth,1.298487,193.503257,0.195665,false,0.183634,negligible
0.01,0.03,Wealth Mobility,-1.110542,196.339063,0.268124,false,-0.157054,negligible
0.01,0.03,Whale Influence,1.673920,178.713134,0.095896,false,0.236728,small
0.01,0.03,Whale Proposal Rate,-0.710207,178.316381,0.478504,false,-0.100438,negligible
0.01,0.03,Governance Capture Risk,1.361452,195.389334,0.174939,false,0.192538,negligible
0.01,0.03,Vote Buying Vulnerability,-0.232912,197.944837,0.816070,false,-0.032939,negligible
0.01,0.03,Single Entity Control,1.381646,194.480186,0.168666,false,0.195394,negligible
0.01,0.03,Collusion Threshold,-1.116624,196.548800,0.265518,false,-0.157915,negligible
0.01,0.03,Participation Trend,-0.196376,197.355764,0.844518,false,-0.027772,negligible
0.01,0.03,Treasury Trend,1.384025,194.857169,0.167934,false,0.195731,negligible
0.01,0.03,Member Growth Rate,0,198,1,false,0,negligible
0.01,0.03,Proposal Rate,0.846414,196.366190,0.398352,false,0.119701,negligible
0.01,0.03,Governance Activity Index,0.254589,197.345119,0.799306,false,0.036004,negligible
0.01,0.03,Final Gini,1.116189,196.325968,0.265706,false,0.157853,negligible
0.01,0.03,Final Reputation Gini,-1.422446,169.732580,0.156732,false,-0.201164,small
0.01,0.05,Proposal Pass Rate,0.121557,197.070765,0.903374,false,0.017191,negligible
0.01,0.05,Average Turnout,-0.494280,197.647383,0.621658,false,-0.069902,negligible
0.01,0.05,Final Treasury,0.053845,197.906303,0.957113,false,0.007615,negligible
0.01,0.05,Final Token Price,1.349247,101.252667,0.180267,false,0.190812,negligible
0.01,0.05,Final Member Count,0,198,1,false,0,negligible
0.01,0.05,Total Proposals,0.492409,196.900701,0.622979,false,0.069637,negligible
0.01,0.05,Quorum Reach Rate,1.022186,189.120763,0.307999,false,0.144559,negligible
0.01,0.05,Avg Margin of Victory,0.327442,195.194008,0.743684,false,0.046307,negligible
0.01,0.05,Avg Time to Decision,0.106400,183.652706,0.915381,false,0.015047,negligible
0.01,0.05,Proposal Abandonment Rate,0,198,1,false,0,negligible
