run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Single Entity Control,Collusion Threshold,Delegate Concentration,Voter Concentration Gini,Voting Power Utilization,Proposal Pass Rate,Quorum Reach Rate,Avg Time to Decision
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0-run-001,vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0,404,9791,0.43572476484351297,0.34523809523809523,0.4269873091438427,0.024554344561387508,0.22631578947368422,0.40954444657532896,0.2168262382575143,0.4343219065079167,0.7951807228915663,1,998.5060240963855
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_3-run-001,vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.3,504,14274,0.5342877122112316,0.35,0.5345672058238121,0.02701488264240375,0.10526315789473684,0.4879127691501085,0.2126937524286516,0.4541353588001227,0.6363636363636364,1,1049.090909090909
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_6-run-001,vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.6,604,14036,0.2678561140669483,0.3020833333333333,0.27295842054945785,0.024515769552851327,0.3684210526315789,0.26318698815286645,0.22384634937262665,0.44171458843555433,0.8631578947368421,1,1069.1263157894737
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0-run-001,vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0,704,12373,0.2668175418539434,0.42045454545454547,0.2477717514352016,0.02219462459103642,0.29473684210526313,0.2463372854477256,0.22224911594053628,0.35901884480167884,0.8295454545454546,1,1068.2045454545455
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_3-run-001,vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.3,804,10632,0.2670044694066176,0.45348837209302323,0.25548496113678726,0.025510767323212714,0.1736842105263158,0.24909538952944135,0.22461975597526324,0.30155605381357237,0.9529411764705882,1,1114.870588235294
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_6-run-001,vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.6,904,10281,0.25981166776167386,0.49411764705882355,0.24452802688400474,0.017211902872933917,0.3263157894736842,0.2516127435313254,0.21954546658543692,0.38226617655445566,0.8823529411764706,1,1092.9764705882353
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0-run-001,vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0,1004,11658,0.36688221294409,0.42718446601941745,0.37788024308179735,0.020311114772451597,0.2736842105263158,0.35994979675244987,0.21235377297853195,0.45181952459559105,0.8137254901960784,1,1035.450980392157
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_3-run-001,vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.3,1104,10750,0.33167438348819656,0.43037974683544306,0.33830462998914757,0.019407469359125885,0.3263157894736842,0.32709091756901076,0.21409722222222222,0.4418053369252755,0.8181818181818182,1,1065.012987012987
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_6-run-001,vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.6,1204,11442,0.3830130739081764,0.45263157894736844,0.3699496281211842,0.025708996270856568,0.23157894736842105,0.3550146635639825,0.2155851226479121,0.4183324035308894,0.8695652173913043,1,1033.0978260869565
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0-run-001,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0,1304,9777,0.5146612970062067,0.4,0.5171192949935227,0.026498526235072456,0.10526315789473684,0.4886580280890141,0.21582348939328344,0.47684231208348893,0.6853932584269663,1,996.1123595505618
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_3-run-001,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.3,1404,8433,0.5528648905898226,0.44,0.5640423623121832,0.027994055465490907,0.1,0.520974157853371,0.22233897016910506,0.45698370697514784,0.7066666666666667,1,1026.8666666666666
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_6-run-001,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.6,1504,8082,0.4115520527423827,0.4868421052631579,0.406142643597151,0.02120644695448537,0.2578947368421053,0.4021374940665783,0.21766710850217763,0.4322307205899779,0.8378378378378378,1,997.972972972973
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0-run-001,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0,1604,8579,0.2645757444180218,0.5054945054945055,0.2628577316742703,0.025050281103438904,0.12631578947368421,0.24300499696064043,0.2111705818217861,0.332132332216899,0.8539325842696629,1,1052.2134831460673
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_3-run-001,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.3,1704,7348,0.21991654364965765,0.42696629213483145,0.22676596781215563,0.01646338580316279,0.37894736842105264,0.21465891623574146,0.21998186887433077,0.39766976440685575,0.8863636363636364,0.9887640449438202,1008.6704545454545
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_6-run-001,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.6,1804,6075,0.267092626192927,0.39473684210526316,0.2501225535115777,0.02292566710288532,0.22105263157894736,0.24616720784782495,0.21724248693894133,0.3386367845691674,0.9333333333333333,1,999.48
