sweep_value,run_count,Whale Influence_mean,Whale Influence_median,Whale Influence_std,Whale Influence_se,Whale Influence_ci95_lower,Whale Influence_ci95_upper,Whale Influence_bootstrap_ci95_lower,Whale Influence_bootstrap_ci95_upper,Whale Influence_min,Whale Influence_max,Whale Influence_iqr,Whale Influence_cv,Whale Proposal Rate_mean,Whale Proposal Rate_median,Whale Proposal Rate_std,Whale Proposal Rate_se,Whale Proposal Rate_ci95_lower,Whale Proposal Rate_ci95_upper,Whale Proposal Rate_bootstrap_ci95_lower,Whale Proposal Rate_bootstrap_ci95_upper,Whale Proposal Rate_min,Whale Proposal Rate_max,Whale Proposal Rate_iqr,Whale Proposal Rate_cv,Governance Capture Risk_mean,Governance Capture Risk_median,Governance Capture Risk_std,Governance Capture Risk_se,Governance Capture Risk_ci95_lower,Governance Capture Risk_ci95_upper,Governance Capture Risk_bootstrap_ci95_lower,Governance Capture Risk_bootstrap_ci95_upper,Governance Capture Risk_min,Governance Capture Risk_max,Governance Capture Risk_iqr,Governance Capture Risk_cv,Single Entity Control_mean,Single Entity Control_median,Single Entity Control_std,Single Entity Control_se,Single Entity Control_ci95_lower,Single Entity Control_ci95_upper,Single Entity Control_bootstrap_ci95_lower,Single Entity Control_bootstrap_ci95_upper,Single Entity Control_min,Single Entity Control_max,Single Entity Control_iqr,Single Entity Control_cv,Collusion Threshold_mean,Collusion Threshold_median,Collusion Threshold_std,Collusion Threshold_se,Collusion Threshold_ci95_lower,Collusion Threshold_ci95_upper,Collusion Threshold_bootstrap_ci95_lower,Collusion Threshold_bootstrap_ci95_upper,Collusion Threshold_min,Collusion Threshold_max,Collusion Threshold_iqr,Collusion Threshold_cv,Delegate Concentration_mean,Delegate Concentration_median,Delegate Concentration_std,Delegate Concentration_se,Delegate Concentration_ci95_lower,Delegate Concentration_ci95_upper,Delegate Concentration_bootstrap_ci95_lower,Delegate Concentration_bootstrap_ci95_upper,Delegate Concentration_min,Delegate Concentration_max,Delegate Concentration_iqr,Delegate Concentration_cv,Voter Concentration Gini_mean,Voter Concentration Gini_median,Voter Concentration Gini_std,Voter Concentration Gini_se,Voter Concentration Gini_ci95_lower,Voter Concentration Gini_ci95_upper,Voter Concentration Gini_bootstrap_ci95_lower,Voter Concentration Gini_bootstrap_ci95_upper,Voter Concentration Gini_min,Voter Concentration Gini_max,Voter Concentration Gini_iqr,Voter Concentration Gini_cv,Voting Power Utilization_mean,Voting Power Utilization_median,Voting Power Utilization_std,Voting Power Utilization_se,Voting Power Utilization_ci95_lower,Voting Power Utilization_ci95_upper,Voting Power Utilization_bootstrap_ci95_lower,Voting Power Utilization_bootstrap_ci95_upper,Voting Power Utilization_min,Voting Power Utilization_max,Voting Power Utilization_iqr,Voting Power Utilization_cv,Proposal Pass Rate_mean,Proposal Pass Rate_median,Proposal Pass Rate_std,Proposal Pass Rate_se,Proposal Pass Rate_ci95_lower,Proposal Pass Rate_ci95_upper,Proposal Pass Rate_bootstrap_ci95_lower,Proposal Pass Rate_bootstrap_ci95_upper,Proposal Pass Rate_min,Proposal Pass Rate_max,Proposal Pass Rate_iqr,Proposal Pass Rate_cv,Quorum Reach Rate_mean,Quorum Reach Rate_median,Quorum Reach Rate_std,Quorum Reach Rate_se,Quorum Reach Rate_ci95_lower,Quorum Reach Rate_ci95_upper,Quorum Reach Rate_bootstrap_ci95_lower,Quorum Reach Rate_bootstrap_ci95_upper,Quorum Reach Rate_min,Quorum Reach Rate_max,Quorum Reach Rate_iqr,Quorum Reach Rate_cv,Avg Time to Decision_mean,Avg Time to Decision_median,Avg Time to Decision_std,Avg Time to Decision_se,Avg Time to Decision_ci95_lower,Avg Time to Decision_ci95_upper,Avg Time to Decision_bootstrap_ci95_lower,Avg Time to Decision_bootstrap_ci95_upper,Avg Time to Decision_min,Avg Time to Decision_max,Avg Time to Decision_iqr,Avg Time to Decision_cv
vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0,25,0.244850,0.243105,0.041859,0.008372,0.227571,0.262128,0.228476,0.261646,0.166932,0.347309,0.041850,0.170957,0.412696,0.441176,0.102844,0.020569,0.370244,0.455147,0.363130,0.448097,0.147727,0.537500,0.076587,0.249200,0.508692,0.500182,0.034428,0.006886,0.494481,0.522903,0.491889,0.517114,0.443314,0.568109,0.044100,0.067679,0.035059,0.033683,0.004159,0.000832,0.033342,0.036776,0.034072,0.037286,0.030030,0.043130,0.006396,0.118640,0.153474,0.126316,0.056086,0.011217,0.130323,0.176625,0.139579,0.180000,0.100000,0.242105,0.110526,0.365442,0.439125,0.432284,0.030790,0.006158,0.426415,0.451834,0.423163,0.446095,0.384614,0.496297,0.046444,0.070117,0.255596,0.255333,0.018911,0.003782,0.247790,0.263402,0.250033,0.262820,0.210083,0.295908,0.026447,0.073990,0.138700,0.137724,0.017287,0.003457,0.131565,0.145836,0.132694,0.146332,0.104914,0.174110,0.012547,0.124634,0.225727,0.230000,0.036410,0.007282,0.210697,0.240756,0.196947,0.228563,0.153846,0.289474,0.040162,0.161303,0.550236,0.534653,0.061594,0.012319,0.524811,0.575661,0.523573,0.574863,0.417582,0.654762,0.089130,0.111941,1019.370559,1023.275510,71.296647,14.259329,989.940750,1048.800369,994.482220,1051.980664,860.804878,1161.595960,93.808960,0.069942
vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.3,25,0.234955,0.238717,0.035088,0.007018,0.220471,0.249439,0.226489,0.252317,0.163860,0.296315,0.055335,0.149341,0.422999,0.409091,0.055627,0.011125,0.400037,0.445960,0.404449,0.447275,0.340000,0.539474,0.077397,0.131507,0.520937,0.517987,0.047230,0.009446,0.501441,0.540433,0.512230,0.546640,0.438429,0.592342,0.072361,0.090664,0.033198,0.032797,0.002970,0.000594,0.031972,0.034424,0.031711,0.033802,0.029136,0.040436,0.002879,0.089463,0.129263,0.105263,0.045303,0.009061,0.110563,0.147963,0.109895,0.143368,0.094737,0.247368,0.031579,0.350470,0.451885,0.453351,0.043061,0.008612,0.434110,0.469659,0.445258,0.474820,0.375522,0.523627,0.073218,0.095291,0.260114,0.260006,0.023869,0.004774,0.250262,0.269967,0.251348,0.271044,0.218123,0.302362,0.033934,0.091763,0.130720,0.130492,0.014297,0.002859,0.124818,0.136622,0.126156,0.137021,0.107611,0.154610,0.024513,0.109373,0.226321,0.226190,0.045072,0.009014,0.207717,0.244926,0.209029,0.242755,0.139535,0.341772,0.057185,0.199150,0.529560,0.536585,0.052710,0.010542,0.507802,0.551318,0.511826,0.550372,0.425743,0.632184,0.096386,0.099536,1019.470144,1015.173333,63.495707,12.699141,993.260404,1045.679884,998.842269,1048.249991,906.434211,1182.115385,89.053763,0.062283
vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.6,25,0.250439,0.251581,0.049143,0.009829,0.230153,0.270724,0.231507,0.270609,0.151711,0.369615,0.042118,0.196228,0.412314,0.430108,0.096878,0.019376,0.372324,0.452303,0.373327,0.447199,0.161905,0.553191,0.055532,0.234963,0.506738,0.506687,0.043198,0.008640,0.488907,0.524570,0.494427,0.533076,0.423252,0.583800,0.038796,0.085248,0.034490,0.034172,0.003980,0.000796,0.032847,0.036133,0.032702,0.035848,0.028747,0.043352,0.003693,0.115407,0.145895,0.142105,0.048821,0.009764,0.125742,0.166047,0.128842,0.163368,0.094737,0.247368,0.057895,0.334630,0.435868,0.437541,0.043566,0.008713,0.417885,0.453851,0.420023,0.459628,0.347917,0.518575,0.051213,0.099953,0.263078,0.262173,0.020055,0.004011,0.254800,0.271356,0.251222,0.266891,0.220876,0.294867,0.029570,0.076230,0.134789,0.139289,0.011432,0.002286,0.130070,0.139507,0.131310,0.140043,0.104121,0.147496,0.014411,0.084811,0.223384,0.217391,0.044188,0.008838,0.205144,0.241624,0.204169,0.243517,0.153846,0.309524,0.069786,0.197814,0.541504,0.534091,0.037029,0.007406,0.526219,0.556789,0.523462,0.553355,0.461538,0.597701,0.048938,0.068382,1020.917984,1029.970588,57.589690,11.517938,997.146129,1044.689840,1018.554262,1058.526947,908.623529,1130.217391,71.261101,0.056410
vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0,25,0.105331,0.102872,0.020766,0.004153,0.096759,0.113903,0.095052,0.111936,0.067111,0.154675,0.027010,0.197146,0.439041,0.433333,0.054044,0.010809,0.416733,0.461350,0.411973,0.451130,0.341463,0.529412,0.073283,0.123096,0.289090,0.282658,0.020128,0.004026,0.280781,0.297398,0.282753,0.299813,0.256349,0.329939,0.027778,0.069624,0.034430,0.034733,0.002809,0.000562,0.033270,0.035589,0.032843,0.035136,0.029757,0.040315,0.002829,0.081594,0.145053,0.142105,0.044402,0.008880,0.126724,0.163381,0.119579,0.157053,0.094737,0.242105,0.063158,0.306111,0.267300,0.263206,0.019167,0.003833,0.259388,0.275212,0.259115,0.276414,0.231499,0.305975,0.019875,0.071707,0.314662,0.315353,0.038277,0.007655,0.298862,0.330462,0.299858,0.333317,0.232784,0.384359,0.049480,0.121645,0.077629,0.075713,0.016338,0.003268,0.070885,0.084373,0.068859,0.081211,0.050017,0.110672,0.023336,0.210459,0.170149,0.175258,0.057667,0.011533,0.146345,0.193953,0.139513,0.187035,0.047059,0.292683,0.076138,0.338923,0.406188,0.397959,0.076795,0.015359,0.374489,0.437887,0.368004,0.430718,0.290698,0.583333,0.054023,0.189062,1026.051942,1017.829787,76.740068,15.348014,994.375199,1057.728685,1000.445934,1057.856264,879.011364,1177.532468,121.092399,0.074792
vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.3,25,0.112495,0.102952,0.042321,0.008464,0.095026,0.129965,0.093606,0.117292,0.070741,0.250965,0.030125,0.376203,0.403000,0.417582,0.091158,0.018232,0.365372,0.440629,0.395079,0.445293,0.127660,0.518072,0.051861,0.226199,0.294857,0.294421,0.016336,0.003267,0.288113,0.301600,0.289812,0.302910,0.263359,0.321095,0.021607,0.055404,0.034214,0.034460,0.003518,0.000704,0.032762,0.035667,0.032025,0.034382,0.029096,0.043364,0.003406,0.102836,0.138737,0.142105,0.037644,0.007529,0.123198,0.154276,0.115579,0.138947,0.094737,0.226316,0.057895,0.271335,0.269391,0.270420,0.022016,0.004403,0.260304,0.278479,0.263467,0.281110,0.222411,0.310433,0.024283,0.081724,0.312417,0.306735,0.047015,0.009403,0.293010,0.331824,0.300666,0.339171,0.229753,0.414544,0.062508,0.150487,0.077700,0.074160,0.019714,0.003943,0.069563,0.085838,0.067155,0.083128,0.045764,0.119530,0.024939,0.253716,0.150544,0.157303,0.055567,0.011113,0.127607,0.173481,0.122052,0.166225,0.056180,0.283951,0.079066,0.369110,0.399291,0.405063,0.091387,0.018277,0.361568,0.437014,0.345655,0.417881,0.237500,0.602410,0.106383,0.228873,1018.183595,1012.560440,63.363260,12.672652,992.028527,1044.338664,982.451102,1029.510813,848.256410,1132.968750,75.650956,0.062232
vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.6,25,0.123959,0.097111,0.067936,0.013587,0.095917,0.152002,0.103747,0.163745,0.068288,0.283250,0.026320,0.548047,0.374954,0.404255,0.113286,0.022657,0.328192,0.421716,0.301933,0.410033,0.111111,0.506024,0.101741,0.302132,0.299161,0.301885,0.014177,0.002835,0.293309,0.305013,0.294556,0.305329,0.265426,0.331444,0.014978,0.047389,0.033993,0.032307,0.004334,0.000867,0.032204,0.035782,0.032279,0.036377,0.028918,0.043375,0.003053,0.127495,0.132842,0.105263,0.048602,0.009720,0.112780,0.152904,0.115789,0.159789,0.094737,0.242105,0.036842,0.365862,0.270834,0.268380,0.018566,0.003713,0.263170,0.278497,0.266758,0.281321,0.236425,0.315018,0.022285,0.068550,0.309813,0.310398,0.030275,0.006055,0.297316,0.322310,0.301622,0.326256,0.247128,0.359519,0.029841,0.097720,0.074222,0.070095,0.014815,0.002963,0.068107,0.080338,0.067046,0.077897,0.052949,0.111710,0.016315,0.199609,0.147303,0.154639,0.034751,0.006950,0.132958,0.161648,0.140297,0.166614,0.087500,0.220930,0.048430,0.235917,0.387430,0.370370,0.078629,0.015726,0.354974,0.419886,0.355112,0.419237,0.287129,0.556818,0.118864,0.202949,1008.322486,1011.804124,62.012569,12.402514,982.724956,1033.920017,982.094087,1028.741631,839.515152,1079.564706,82.241071,0.061501
vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0,25,0.172501,0.165881,0.031793,0.006359,0.159377,0.185624,0.158432,0.180749,0.137009,0.282703,0.030922,0.184305,0.405946,0.407895,0.084774,0.016955,0.370953,0.440939,0.384048,0.452360,0.160494,0.569767,0.089852,0.208830,0.390633,0.391038,0.035113,0.007023,0.376139,0.405127,0.372203,0.402049,0.319430,0.452940,0.038719,0.089889,0.034125,0.033345,0.003561,0.000712,0.032655,0.035595,0.033363,0.036000,0.029853,0.042905,0.005194,0.104356,0.139579,0.115789,0.050187,0.010037,0.118863,0.160295,0.126947,0.167579,0.100000,0.236842,0.078947,0.359561,0.341048,0.347517,0.026625,0.005325,0.330058,0.352038,0.327967,0.348551,0.287263,0.389466,0.030956,0.078067,0.276149,0.276289,0.033139,0.006628,0.262470,0.289828,0.261747,0.284000,0.232146,0.377483,0.036460,0.120005,0.103526,0.101559,0.015023,0.003005,0.097325,0.109727,0.099400,0.110956,0.077188,0.129167,0.019721,0.145112,0.195949,0.200000,0.049956,0.009991,0.175328,0.216570,0.171646,0.214669,0.105263,0.303797,0.069859,0.254946,0.479923,0.480392,0.060455,0.012091,0.454969,0.504878,0.458585,0.508465,0.356164,0.602041,0.091438,0.125968,1003.336922,997.950000,50.326598,10.065320,982.563123,1024.110721,983.742663,1016.365424,920.367089,1127.587629,57.373375,0.050159
vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.3,25,0.185007,0.165511,0.066100,0.013220,0.157722,0.212292,0.157593,0.211416,0.097467,0.339570,0.027295,0.357284,0.371903,0.400000,0.107462,0.021492,0.327545,0.416261,0.331703,0.409037,0.157895,0.530303,0.119048,0.288950,0.383393,0.383390,0.033149,0.006630,0.369710,0.397077,0.373689,0.396673,0.305998,0.445633,0.035604,0.086463,0.035205,0.034389,0.004582,0.000916,0.033314,0.037097,0.033432,0.036755,0.030176,0.043119,0.005695,0.130155,0.150316,0.131579,0.055577,0.011115,0.127375,0.173257,0.126947,0.171789,0.100000,0.242105,0.100000,0.369736,0.334436,0.332959,0.026151,0.005230,0.323641,0.345230,0.326350,0.344513,0.280429,0.401346,0.028354,0.078193,0.285814,0.286207,0.030580,0.006116,0.273192,0.298437,0.275376,0.299228,0.234939,0.346617,0.041380,0.106991,0.099555,0.099869,0.015754,0.003151,0.093053,0.106058,0.093417,0.105593,0.063008,0.129179,0.022177,0.158241,0.193309,0.188235,0.050484,0.010097,0.172470,0.214147,0.172727,0.208656,0.093750,0.293478,0.047098,0.261158,0.465928,0.464286,0.079494,0.015899,0.433115,0.498742,0.429421,0.494256,0.268293,0.611765,0.086468,0.170615,990.683209,997.144578,60.127056,12.025411,965.863981,1015.502438,973.034780,1019.555685,827.616162,1107.231707,52.206667,0.060693
vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.6,25,0.185768,0.177212,0.039372,0.007874,0.169516,0.202020,0.174831,0.211827,0.126993,0.329069,0.036236,0.211943,0.395626,0.397590,0.067944,0.013589,0.367580,0.423672,0.374567,0.433412,0.186813,0.552239,0.048156,0.171738,0.404770,0.411191,0.031066,0.006213,0.391946,0.417593,0.386572,0.414056,0.313811,0.441048,0.031449,0.076749,0.033314,0.032975,0.003353,0.000671,0.031929,0.034698,0.032690,0.035578,0.029370,0.043118,0.003695,0.100657,0.129895,0.105263,0.041878,0.008376,0.112608,0.147181,0.120842,0.160211,0.094737,0.252632,0.042105,0.322397,0.350696,0.356026,0.023448,0.004690,0.341017,0.360375,0.337671,0.357841,0.292604,0.394747,0.016838,0.066860,0.270763,0.266478,0.026547,0.005309,0.259805,0.281721,0.259963,0.281067,0.236396,0.333270,0.038141,0.098047,0.102460,0.105502,0.013263,0.002653,0.096986,0.107935,0.096257,0.106749,0.071253,0.120185,0.018347,0.129448,0.207018,0.202020,0.061104,0.012221,0.181795,0.232241,0.192031,0.243612,0.100000,0.322222,0.097277,0.295164,0.479128,0.477778,0.053826,0.010765,0.456909,0.501346,0.468149,0.509844,0.364706,0.555556,0.057300,0.112342,1039.380428,1023.989899,72.072725,14.414545,1009.630270,1069.130587,1029.960915,1086.385010,897.784091,1179.369231,95.000656,0.069342
vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0,25,0.258496,0.250734,0.046750,0.009350,0.239199,0.277794,0.238862,0.273583,0.189101,0.368626,0.046211,0.180852,0.388300,0.422680,0.106491,0.021298,0.344343,0.432258,0.362274,0.438351,0.125000,0.524390,0.071567,0.274250,0.517138,0.518954,0.036338,0.007268,0.502139,0.532138,0.503021,0.530488,0.446816,0.617574,0.043262,0.070267,0.034133,0.032825,0.004144,0.000829,0.032422,0.035843,0.032459,0.035226,0.028745,0.043177,0.003346,0.121398,0.136632,0.105263,0.048081,0.009616,0.116785,0.156479,0.117053,0.151579,0.094737,0.231579,0.047368,0.351905,0.451652,0.453506,0.036386,0.007277,0.436632,0.466671,0.438719,0.466968,0.378684,0.549442,0.037717,0.080562,0.256595,0.260061,0.023001,0.004600,0.247101,0.266090,0.246429,0.265573,0.222712,0.318561,0.028952,0.089639,0.133413,0.129415,0.016505,0.003301,0.126600,0.140226,0.128937,0.141931,0.107686,0.163223,0.025264,0.123717,0.235028,0.244444,0.042767,0.008553,0.217374,0.252681,0.217306,0.249846,0.169014,0.318681,0.071759,0.181966,0.538201,0.535211,0.060422,0.012084,0.513261,0.563142,0.523918,0.568689,0.454545,0.687500,0.074997,0.112266,1002.017911,1021.543210,74.820152,14.964030,971.133671,1032.902152,967.477020,1028.870500,858.177215,1121.207317,96.510750,0.074669
