run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Quorum Reach Rate,Avg Time to Decision,Proposal Abandonment Rate,Proposal Rejection Rate,Governance Overhead,Average Turnout,Avg Margin of Victory,Proposal Rate,Total Proposals
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=0-run-001,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=0,505,23053,0.9285714285714286,1,971,0,0.07142857142857142,80.55357142857143,0.2758109830245075,0.36814988084541883,3,60
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=6-run-001,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=6,605,17965,0.9333333333333333,1,984.4444444444445,0,0.06666666666666667,72.55555555555556,0.22862676032719484,0.4473525639059386,2.3,46
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=12-run-001,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=12,705,21124,1,1,619.6,0,0,85.575,0.21827122331480706,0.49761275049811243,2.1,42
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=0-run-001,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=0,805,13214,0.9696969696969697,1,1181.7272727272727,0,0.030303030303030304,71.39393939393939,0.24237525536973492,0.46831783250076464,1.6500000000000001,33
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=6-run-001,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=6,905,18168,0.9782608695652174,1,869.2173913043479,0,0.021739130434782608,69.82608695652173,0.23140752819159924,0.5902943491359764,2.3,46
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=12-run-001,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=12,1005,21225,0.9655172413793104,1,914,0,0.034482758620689655,72.06896551724138,0.23099568964931902,0.4734062354085959,3,60
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=0-run-001,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=0,1105,17169,0.975609756097561,1,924.3414634146342,0,0.024390243902439025,87.04878048780488,0.25766300816498167,0.549119245606042,2.3,46
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=6-run-001,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=6,1205,18348,1,1,884.2,0,0,77.925,0.22227156488716338,0.6386253349299239,2.15,43
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=12-run-001,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=12,1305,17008,1,1,982.2926829268292,0,0,73.65853658536585,0.2228223134764578,0.5750631664054925,2.15,43
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=0-run-002,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=0,506,23953,0.9803921568627451,1,1013.5098039215686,0,0.0196078431372549,80.03921568627452,0.24498900157793252,0.48012314646036625,2.6,52
