# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Proposal Pass Rate,-0.918918,57.124581,0.362003,false,-0.237264,small
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Quorum Reach Rate,2.229370,57.995265,0.029677,false,0.575621,medium
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Avg Time to Decision,1.109523,55.642899,0.271977,false,0.286478,small
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Proposal Abandonment Rate,-0.977825,57.535667,0.332255,false,-0.252473,small
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Proposal Rejection Rate,0.918918,57.124581,0.362003,false,0.237264,small
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Governance Overhead,-1.324173,56.506892,0.190777,false,-0.341900,small
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Average Turnout,0.131558,57.578046,0.895792,false,0.033968,negligible
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Avg Margin of Victory,-1.274424,57.607132,0.207630,false,-0.329055,small
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Proposal Rate,-2.447363,57.548779,0.017465,true,-0.631906,medium
proposal_temp_check_fraction=0_proposal_fast_track_min_steps=0,proposal_temp_check_fraction=0_proposal_fast_track_min_steps=6,Total Proposals,-2.447363,57.548779,0.017465,true,-0.631906,medium
