sweep_value,run_count,Treasury Volatility_mean,Treasury Volatility_median,Treasury Volatility_std,Treasury Volatility_se,Treasury Volatility_ci95_lower,Treasury Volatility_ci95_upper,Treasury Volatility_bootstrap_ci95_lower,Treasury Volatility_bootstrap_ci95_upper,Treasury Volatility_min,Treasury Volatility_max,Treasury Volatility_iqr,Treasury Volatility_cv,Treasury Growth Rate_mean,Treasury Growth Rate_median,Treasury Growth Rate_std,Treasury Growth Rate_se,Treasury Growth Rate_ci95_lower,Treasury Growth Rate_ci95_upper,Treasury Growth Rate_bootstrap_ci95_lower,Treasury Growth Rate_bootstrap_ci95_upper,Treasury Growth Rate_min,Treasury Growth Rate_max,Treasury Growth Rate_iqr,Treasury Growth Rate_cv,Final Treasury_mean,Final Treasury_median,Final Treasury_std,Final Treasury_se,Final Treasury_ci95_lower,Final Treasury_ci95_upper,Final Treasury_bootstrap_ci95_lower,Final Treasury_bootstrap_ci95_upper,Final Treasury_min,Final Treasury_max,Final Treasury_iqr,Final Treasury_cv,Treasury Trend_mean,Treasury Trend_median,Treasury Trend_std,Treasury Trend_se,Treasury Trend_ci95_lower,Treasury Trend_ci95_upper,Treasury Trend_bootstrap_ci95_lower,Treasury Trend_bootstrap_ci95_upper,Treasury Trend_min,Treasury Trend_max,Treasury Trend_iqr,Treasury Trend_cv,Final Token Price_mean,Final Token Price_median,Final Token Price_std,Final Token Price_se,Final Token Price_ci95_lower,Final Token Price_ci95_upper,Final Token Price_bootstrap_ci95_lower,Final Token Price_bootstrap_ci95_upper,Final Token Price_min,Final Token Price_max,Final Token Price_iqr,Final Token Price_cv,Proposal Pass Rate_mean,Proposal Pass Rate_median,Proposal Pass Rate_std,Proposal Pass Rate_se,Proposal Pass Rate_ci95_lower,Proposal Pass Rate_ci95_upper,Proposal Pass Rate_bootstrap_ci95_lower,Proposal Pass Rate_bootstrap_ci95_upper,Proposal Pass Rate_min,Proposal Pass Rate_max,Proposal Pass Rate_iqr,Proposal Pass Rate_cv,Quorum Reach Rate_mean,Quorum Reach Rate_median,Quorum Reach Rate_std,Quorum Reach Rate_se,Quorum Reach Rate_ci95_lower,Quorum Reach Rate_ci95_upper,Quorum Reach Rate_bootstrap_ci95_lower,Quorum Reach Rate_bootstrap_ci95_upper,Quorum Reach Rate_min,Quorum Reach Rate_max,Quorum Reach Rate_iqr,Quorum Reach Rate_cv
treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,30,0.238441,0.233500,0.009549,0.001743,0.234876,0.242007,0,0,0.225677,0.256386,0.016345,0.040047,-0.736151,-0.728751,0.009996,0.001825,-0.739883,-0.732418,0,0,-0.749312,-0.728139,0.020371,0.013579,10047.259942,10047.606770,3.713835,0.678050,10045.873173,10048.646711,0,0,10039.940170,10053.613363,4.454473,0.000370,-9.730768,-9.668759,0.418046,0.076324,-9.886869,-9.574667,0,0,-10.481108,-9.013302,0.615451,0.042961,6.544552,1.693222,21.832108,3.985979,-1.607691,14.696795,2.311874,20.088869,0.960633,120.325977,1.157438,3.335921,0.984417,1,0.022056,0.004027,0.976182,0.992653,0.975487,0.991861,0.923077,1,0.028638,0.022405,0.999371,1,0.003445,0.000629,0.998085,1.000657,0.997484,1,0.981132,1,0,0.003447
treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.2,30,0.237287,0.240292,0.011835,0.002161,0.232868,0.241706,0,0,0.218085,0.254845,0.022989,0.049876,-0.736895,-0.748616,0.013734,0.002507,-0.742023,-0.731766,0,0,-0.749080,-0.720987,0.027825,0.018637,10048.369581,10048.519036,7.527100,1.374254,10045.558916,10051.180246,10046.909613,10051.117824,10033.296847,10077.779541,3.176472,0.000749,-9.578299,-9.643196,0.499563,0.091207,-9.764839,-9.391759,0,0,-10.657105,-8.503928,0.789253,0.052156,2.457912,1.643306,1.703809,0.311071,1.821699,3.094124,2.031382,3.339230,0.955969,6.182128,1.825088,0.693194,0.985874,1,0.020835,0.003804,0.978094,0.993654,0.974350,0.992552,0.911111,1,0.023539,0.021134,0.999275,1,0.003969,0.000725,0.997793,1.000757,0.997101,1,0.978261,1,0,0.003972
treasury_stabilization_enabled=true_treasury_buffer_fraction=0.2_treasury_max_spend_fraction=0.1,30,0.238246,0.239467,0.017196,0.003140,0.231825,0.244667,0,0,0.203917,0.267390,0.018791,0.072177,-0.716951,-0.720028,0.012424,0.002268,-0.721590,-0.712311,0,0,-0.746908,-0.696748,0.007660,0.017330,11804.391497,12040.243915,361.134065,65.933758,11669.541821,11939.241172,11630.894348,11900.699533,10829.604818,12158.900244,503.218173,0.030593,-12.544187,-13.308862,2.680899,0.489463,-13.545251,-11.543123,0,0,-17.438504,-7.459050,3.405055,0.213716,2.815971,1.410220,5.658825,1.033155,0.702931,4.929011,1.538227,6.662484,0.913766,32.075054,0.933813,2.009546,0.979795,0.980392,0.019696,0.003596,0.972441,0.987150,0,0,0.935484,1,0.029870,0.020102,0.996513,1,0.008232,0.001503,0.993439,0.999587,0.991130,0.998493,0.972973,1,0,0.008261
treasury_stabilization_enabled=true_treasury_buffer_fraction=0.2_treasury_max_spend_fraction=0.2,30,0.240505,0.245327,0.024577,0.004487,0.231328,0.249682,0,0,0.205430,0.279662,0.042988,0.102191,-0.715253,-0.719990,0.019637,0.003585,-0.722586,-0.707921,0,0,-0.756627,-0.688891,0.033518,0.027455,11575.096183,12035.567455,612.281184,111.786739,11346.466632,11803.725735,0,0,10428.101199,12070.167032,1107.957227,0.052896,-11.819690,-12.371595,3.031775,0.553524,-12.951773,-10.687607,0,0,-16.851426,-5.946874,4.356181,0.256502,2.842563,1.666742,2.502845,0.456955,1.907985,3.777141,1.932527,3.401503,0.957761,10.434288,3.168928,0.880489,0.980503,0.979583,0.022500,0.004108,0.972101,0.988905,0.975580,0.989289,0.921053,1,0.026520,0.022947,0.997833,1,0.006657,0.001215,0.995347,1.000318,0.995192,1,0.975000,1,0,0.006671
treasury_stabilization_enabled=true_treasury_buffer_fraction=0.4_treasury_max_spend_fraction=0.1,30,0.263777,0.256846,0.033107,0.006044,0.251414,0.276139,0,0,0.208655,0.317519,0.049941,0.125511,-0.697875,-0.694859,0.021913,0.004001,-0.706057,-0.689692,0,0,-0.744283,-0.665392,0.023744,0.031400,13332.825843,13810.163197,863.691037,157.687688,13010.318309,13655.333376,0,0,11417.677673,14055.415030,1560.479152,0.064779,-15.993779,-15.220871,6.615442,1.207809,-18.464026,-13.523532,0,0,-31.201229,-3.122100,5.979136,0.413626,3.336010,2.043036,3.488363,0.636885,2.033434,4.638586,2.559486,5.527188,0.966228,13.519738,1.886065,1.045669,0.983160,0.981794,0.018140,0.003312,0.976387,0.989934,0,0,0.950000,1,0.028496,0.018451,0.997343,1,0.007015,0.001281,0.994723,0.999962,0.992944,0.998667,0.975610,1,0,0.007034
treasury_stabilization_enabled=true_treasury_buffer_fraction=0.4_treasury_max_spend_fraction=0.2,30,0.273712,0.271141,0.041803,0.007632,0.258102,0.289322,0,0,0.212001,0.347458,0.076432,0.152728,-0.705522,-0.699983,0.033537,0.006123,-0.718045,-0.693000,0,0,-0.764570,-0.660940,0.054899,0.047535,12501.467780,11989.916291,1420.339864,259.317394,11971.104159,13031.831401,0,0,10526.258020,14052.748707,2721.663788,0.113614,-14.807126,-14.590552,9.011118,1.645198,-18.171933,-11.442319,0,0,-39.087691,2.218154,12.676479,0.608566,11.802298,1.496833,54.062235,9.870369,-8.384873,31.989468,1.602202,22.075473,0.945406,297.979618,1.048148,4.580653,0.982882,0.982451,0.019344,0.003532,0.975659,0.990105,0,0,0.930233,1,0.028825,0.019681,1,1,0,0,1,1,0,0,1,1,0,0
treasury_stabilization_enabled=false_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,30,0.476684,0.471853,0.109869,0.020059,0.435658,0.517709,0,0,0.313811,0.773197,0.131258,0.230486,-0.687390,-0.758693,0.160000,0.029212,-0.747134,-0.627645,-0.725560,-0.607735,-0.814218,-0.160092,0.156991,0.232764,15047.310594,11766.627945,8000.771262,1460.734299,12059.773508,18034.847681,12963.444865,18882.766750,9113.608067,42643.087155,7769.389472,0.531708,-13.447437,-16.353140,53.946346,9.849210,-33.591333,6.696460,0,0,-105.029433,101.640454,62.766389,4.011645,3.016987,1.483012,3.943722,0.720022,1.544377,4.489597,2.059625,4.646115,0.927689,20.471490,2.176520,1.307172,0.977746,0.980000,0.020915,0.003818,0.969936,0.985556,0.976247,0.989183,0.924528,1,0.031162,0.021391,0.999187,1,0.004453,0.000813,0.997524,1.000850,0.999187,1,0.975610,1,0,0.004457
treasury_stabilization_enabled=false_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.2,30,0.457792,0.425668,0.131155,0.023946,0.408817,0.506766,0.401114,0.487502,0.291323,0.801491,0.153789,0.286496,-0.696226,-0.758195,0.180082,0.032878,-0.763469,-0.628982,-0.755072,-0.629963,-0.816240,0.071203,0.098696,0.258655,13695.507927,10877.083120,7711.747662,1407.966051,10815.894027,16575.121827,10810.777188,16760.681031,9215.893979,48959.045058,4642.816280,0.563086,-21.995980,-17.214231,62.185108,11.353395,-45.216281,1.224321,-34.391968,5.246303,-288.023028,126.130938,27.656864,2.827112,3.039676,1.509709,4.677008,0.853901,1.293252,4.786099,1.397264,4.292831,0.924296,21.319871,1.046143,1.538654,0.972047,0.974022,0.020439,0.003732,0.964414,0.979679,0,0,0.930233,1,0.025465,0.021027,0.998705,1,0.004927,0.000900,0.996866,1.000545,0.997423,1,0.980392,1,0,0.004933
treasury_stabilization_enabled=false_treasury_buffer_fraction=0.2_treasury_max_spend_fraction=0.1,30,0.493000,0.460684,0.137852,0.025168,0.441526,0.544475,0,0,0.308667,0.896024,0.200141,0.279618,-0.690724,-0.758947,0.205160,0.037457,-0.767332,-0.614116,-0.748713,-0.570707,-0.815477,0.222849,0.128703,0.297022,15487.356143,12291.240791,10453.386047,1908.518447,11583.997646,19390.714641,12755.817768,21668.110949,9400.818339,61887.192269,6929.008746,0.674963,-39.076501,-16.534508,90.526560,16.527813,-72.879674,-5.273328,0,0,-273.715933,157.927349,53.984812,2.316650,3.172916,2.240740,2.598659,0.474448,2.202561,4.143272,2.383569,4.388289,0.920411,9.265250,3.051313,0.819013,0.983678,0.983333,0.018761,0.003425,0.976672,0.990683,0.975978,0.989904,0.925926,1,0.025328,0.019073,0.997911,1,0.006383,0.001165,0.995528,1.000295,0.996435,1,0.977778,1,0,0.006396
treasury_stabilization_enabled=false_treasury_buffer_fraction=0.2_treasury_max_spend_fraction=0.2,30,0.479730,0.408105,0.156203,0.028519,0.421403,0.538057,0,0,0.315008,0.861549,0.224351,0.325606,-0.679944,-0.760389,0.235448,0.042987,-0.767862,-0.592026,-0.750949,-0.578548,-0.819242,0.414087,0.099564,0.346276,14913.072618,10786.881168,10969.017918,2002.659516,10817.174016,19008.971220,11508.142533,19572.940967,9162.638188,64400.503052,3913.654423,0.735530,-31.586213,-20.906256,79.909422,14.589398,-61.424881,-1.747544,0,0,-260.475308,217.946387,48.296217,2.529883,12.139901,1.874222,46.672750,8.521239,-5.287991,29.567792,2.534466,31.773534,0.957427,258.170821,3.320495,3.844574,0.976956,0.981294,0.025600,0.004674,0.967396,0.986515,0.964704,0.983472,0.904762,1,0.033620,0.026204,0.999383,1,0.003381,0.000617,0.998120,1.000645,0.996914,1,0.981481,1,0,0.003383
