run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Voter Participation Rate,Delegate Concentration,Whale Influence,Voter Concentration Gini,Unique Voter Count,Voter Retention Rate,Quorum Reach Rate,Final Member Count,Total Proposals,Avg Votes Per Proposal,Participation Trend,Token Concentration Gini,Final Gini,Final Treasury,Governance Capture Risk,Single Entity Control
Scale Sweep-50-run-001,50,808,4843,0.7931034482758621,0.21558156173906703,0.2812391309219972,0.30244483248452475,0.2886944547340036,0.47283295194508007,181,0.9369369369369369,1,250,29,40.275862068965516,0.006983078881850618,0.5148666790920461,0.5148169232228117,11053.032114650185,0.3154005232576903,0.028438851951265946
Scale Sweep-100-run-001,100,838,7346,1,0.20480122106675708,0.2421800373132231,0.2765618011677288,0.28434022031374934,0.42125626422740503,235,0.9644970414201184,1,301,49,52.265306122448976,0.0020833309205272607,0.5112551594045681,0.5113213553476534,10861.911462877048,0.2868591582741189,0.022224810022360805
Scale Sweep-200-run-001,200,868,13438,0.9833333333333333,0.24198082434980325,0.22867771663571798,0.27102281343085166,0.2783314489914635,0.39522455210090784,322,0.916030534351145,1,405,61,70.54098360655738,0.002144006098083408,0.4174696387927534,0.41739389881200495,12048.540142981983,0.2790672167696816,0.019728189515099494
Scale Sweep-350-run-001,350,898,25328,1,0.2172439148877946,0.23207818877985364,0.2560980191657217,0.26545698325931066,0.38526579471490463,453,0.9246753246753247,1,565,65,106.35384615384615,0.0007093481689619165,0.4661509695682492,0.46605181778960936,12062.217914998573,0.2577914163000707,0.01378630955379513
Scale Sweep-500-run-001,500,928,60515,0.9873417721518988,0.2344657527819214,0.22092067293088674,0.245392285899272,0.2610103219177733,0.3679188440576643,594,0.903954802259887,1,721,79,137.63291139240508,0.000921645466232229,0.42139564875956376,0.4213484608315665,11330.244747382148,0.23801003469279697,0.009425877369679045
Scale Sweep-50-run-002,50,809,5565,0.9166666666666666,0.21923833371861842,0.2624829493315088,0.3009219237534703,0.275523879908668,0.38498162515312373,202,0.9337748344370861,0.98,250,50,43.38,0.0036455094203814305,0.49463876117507116,0.494221007243447,11763.695516084044,0.307306709899173,0.021756692014409506
Scale Sweep-100-run-002,100,839,7260,0.9347826086956522,0.2083708296437602,0.25289531921888553,0.2739183651444683,0.2573087373842357,0.4091905757655286,236,0.9175824175824175,1,301,47,52.829787234042556,0.0021479798963454253,0.490773303778685,0.4899834859794985,12042.483971913605,0.27804818481155436,0.024211000208547294
Scale Sweep-200-run-002,200,869,9233,1,0.2098091101827958,0.24678387978800906,0.2755825669573704,0.2762966722157641,0.39707129733239394,333,0.8754716981132076,1,405,32,76.375,0.002744582289614579,0.49758877928336787,0.4977319931092241,12046.87960619952,0.276133062351331,0.018165993104660973
Scale Sweep-350-run-002,350,899,25976,1,0.22862218316068908,0.23114699252430257,0.27058247520951906,0.27941704137690476,0.39320286602937016,454,0.9324675324675324,1,565,64,107.953125,0.0010140183305489025,0.4472714332470989,0.4471494675813361,10771.020944318856,0.2736982635482748,0.012820160505422272
Scale Sweep-500-run-002,500,929,55510,1,0.23482950096484953,0.23176783138538315,0.25589026879849996,0.2672146427067728,0.3894214790432121,584,0.9166666666666666,1,721,65,140.8153846153846,0.0008182948142371773,0.45249497533850724,0.45245280261428245,11561.181568448283,0.25290650869650133,0.011305920548530995
