# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
50,100,Proposal Pass Rate,-14.390748,179.531606,0,true,-2.035159,very_large
50,100,Average Turnout,-0.099646,182.330763,0.920735,false,-0.014092,negligible
50,100,Voter Participation Rate,9.486559,195.487671,0,true,1.341602,very_large
50,100,Delegate Concentration,10.075865,197.918704,0,true,1.424942,very_large
50,100,Whale Influence,8.614213,195.645681,0.000000,true,1.218234,very_large
50,100,Voter Concentration Gini,6.110928,178.030742,0.000000,true,0.864216,large
50,100,Unique Voter Count,-97.563207,162.440386,0,true,-13.797521,very_large
50,100,Voter Retention Rate,-0.675737,193.535298,0.500014,false,-0.095564,negligible
50,100,Quorum Reach Rate,0.988938,197.881922,0.323901,false,0.139857,negligible
50,100,Final Member Count,0,198,1,false,0,negligible
50,100,Total Proposals,-42.729776,174.709057,0,true,-6.042903,very_large
50,100,Avg Votes Per Proposal,-79.826750,159.072093,0,true,-11.289207,very_large
50,100,Participation Trend,0.361935,119.976415,0.718037,false,0.051185,negligible
50,100,Token Concentration Gini,5.639093,196.951199,0.000000,true,0.797488,medium
50,100,Final Gini,5.640771,196.959368,0.000000,true,0.797725,medium
50,100,Final Treasury,-0.466245,197.093434,0.641555,false,-0.065937,negligible
50,100,Governance Capture Risk,11.110965,194.008045,0,true,1.571328,very_large
50,100,Single Entity Control,19.177071,157.791671,0,true,2.712047,very_large
50,200,Proposal Pass Rate,-34.654959,122.144163,0,true,-4.900951,very_large
50,200,Average Turnout,4.962940,167.514293,0.000002,true,0.701866,medium
50,200,Voter Participation Rate,22.301005,161.351996,0,true,3.153838,very_large
50,200,Delegate Concentration,12.791775,194.476138,0,true,1.809030,very_large
50,200,Whale Influence,11.825420,182.492674,0,true,1.672367,very_large
50,200,Voter Concentration Gini,7.823952,142.188916,0.000000,true,1.106474,large
50,200,Unique Voter Count,-181.312604,119.239267,0,true,-25.641474,very_large
50,200,Voter Retention Rate,3.094148,188.833633,0.002274,true,0.437579,small
50,200,Quorum Reach Rate,0.625955,164.446970,0.532213,false,0.088523,negligible
50,200,Final Member Count,0,198,1,false,0,negligible
50,200,Total Proposals,-97.497870,143.589050,0,true,-13.788281,very_large
50,200,Avg Votes Per Proposal,-184.433890,135.931446,0,true,-26.082891,very_large
50,200,Participation Trend,0.553776,101.515240,0.580950,false,0.078316,negligible
50,200,Token Concentration Gini,6.066397,192.654820,0.000000,true,0.857918,large
50,200,Final Gini,6.068597,192.848012,0.000000,true,0.858229,large
50,200,Final Treasury,-1.955857,195.129631,0.051909,false,-0.276600,small
50,200,Governance Capture Risk,17.298889,171.626553,0,true,2.446432,very_large
50,200,Single Entity Control,31.546384,111.813591,0,true,4.461332,very_large
50,350,Proposal Pass Rate,-46.523510,106.192771,0,true,-6.579418,very_large
50,350,Average Turnout,10.721441,141.947289,0,true,1.516241,very_large
50,350,Voter Participation Rate,30.999007,152.192389,0,true,4.383922,very_large
50,350,Delegate Concentration,16.277020,178.498237,0,true,2.301918,very_large
50,350,Whale Influence,16.118492,165.248799,0,true,2.279499,very_large
50,350,Voter Concentration Gini,7.240280,128.010092,0.000000,true,1.023930,large
50,350,Unique Voter Count,-215.243203,105.460242,0,true,-30.439986,very_large
50,350,Voter Retention Rate,3.761137,189.888425,0.000225,true,0.531905,medium
50,350,Quorum Reach Rate,0.551793,136.929590,0.581990,false,0.078035,negligible
50,350,Final Member Count,0,198,1,false,0,negligible
50,350,Total Proposals,-157.993620,127.211334,0,true,-22.343672,very_large
50,350,Avg Votes Per Proposal,-237.654385,113.924576,0,true,-33.609405,very_large
50,350,Participation Trend,0.340811,99.423321,0.733965,false,0.048198,negligible
50,350,Token Concentration Gini,5.455249,182.047817,0.000000,true,0.771489,medium
50,350,Final Gini,5.458361,182.087681,0.000000,true,0.771929,medium
